health,time,maze_algorithm,maze_size,token,created_at
-5,83,PrimsAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3Njc0ODgsImp0aSI6IjRkODg2YjRhLTIxYWMtNDZmOC1hZDhlLTVkMGZkODAwNDc3MSJ9.,2023-08-11 15:26:26 UTC
-5,89,PrimsAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3Njc1OTAsImp0aSI6IjdkNjZhMGY2LTk2ZmItNDNjZC1iMmYxLTY5NTFhYWNiZGRhNyJ9.,2023-08-11 15:28:07 UTC
-5,40,RecursiveDivision,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3Njc2ODksImp0aSI6ImJmZjg1YTkzLWRmMjQtNGM5ZC04ZGNiLWIyMjYxYTM2NTYyMiJ9.,2023-08-11 15:28:55 UTC
-5,74,RecursiveDivision,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3Njc3NDksImp0aSI6Ijc1Y2Q5OGRjLTE5MTctNGJhOS04Y2FhLTk4MmJlNWI4MmVmZCJ9.,2023-08-11 15:30:41 UTC
-5,152,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3Njc4NDMsImp0aSI6ImM2ZWM2YjA5LTNjZjEtNGJlYy04NGRhLWNiOTAwODhlZDdjYSJ9.,2023-08-11 15:33:26 UTC
40,143,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NjgwMTYsImp0aSI6IjBhZGRkMjdhLTJmZmUtNDIxZi05YzQ0LTE2YzhhMTZlNzlhMCJ9.,2023-08-11 15:36:35 UTC
100,46,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NjgxOTgsImp0aSI6IjA4M2NjYjRmLTRiZDUtNDAxOS1iYTczLWJhMjEwYmMxMzFiMiJ9.,2023-08-11 15:38:00 UTC
10,189,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3Njg2NDYsImp0aSI6ImZiYzI5ZjcxLTcyN2UtNDY5MC04MjFiLTc3NTdiYzUzMzQ5MiJ9.,2023-08-11 15:47:37 UTC
25,158,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3Njg5ODAsImp0aSI6IjU1YTJkOWI4LTYxZTYtNDQ5Yy1iNjgyLTY1MmQ5ZjlkOGU4MCJ9.,2023-08-11 15:52:35 UTC
-5,163,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NjkyODcsImp0aSI6Ijc1YzBlMWFkLTIwOTctNDMyNS04M2YwLTQwMTM4MDM5MjQ3NiJ9.,2023-08-11 15:57:45 UTC
70,58,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3Njk0NjYsImp0aSI6IjE4NjhjYTNjLWZiNjctNDQ1YS05ZTg5LWJhYTQyYjM2ZGM0NCJ9.,2023-08-11 15:59:55 UTC
85,107,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3Njk3OTQsImp0aSI6Ijg3NmY0ZjE0LWZiZmMtNDM1ZS04YmZmLWUwZjE2N2YwOWE3YyJ9.,2023-08-11 16:05:25 UTC
100,97,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzAxMTMsImp0aSI6ImFiZTRhZjdjLThiMGItNGVhYy1hNzUzLTU1YmNiYzNkZjg5MyJ9.,2023-08-11 16:11:10 UTC
100,103,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzA0NjMsImp0aSI6Ijg5MzI1ZjU1LTBjZWItNGNhOS1iODI0LWZjOGE0N2EwNjVmYyJ9.,2023-08-11 16:16:20 UTC
85,127,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:45:02 UTC
-5,82,PrimsAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzYwNDcsImp0aSI6IjE0NWM2YTUwLWFlNjQtNDMxZC1hMDM5LTUzOTcxMTY4M2FkNyJ9.,2023-08-11 17:48:54 UTC
100,51,RecursiveDivision,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzYxMzYsImp0aSI6ImJjNWRmNDkwLTYyNDgtNGFhNy04OWMxLWI3NTdhZTJmYTJjNCJ9.,2023-08-11 17:50:03 UTC
70,160,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzYyMTAsImp0aSI6ImFjNDJjYTU4LTZkYWQtNDE1Yy04ZmQxLTJiNjYxNjhhYmY0MyJ9.,2023-08-11 17:53:36 UTC
100,101,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE4MzE5MzEsImp0aSI6ImZhYzQ1N2JkLWRjNzgtNDI1MS1iZjU4LTc1OTdmYWJmMzEyYyJ9.,2023-08-12 09:21:55 UTC
-5,134,PrimsAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE4MzIyOTksImp0aSI6ImMxYjc4Y2U5LWZiYjMtNDFjOS04MjY5LTU2NDY5OTVhYjZmMiJ9.,2023-08-12 09:27:36 UTC
100,97,RecursiveDivision,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE4MzI0NTgsImp0aSI6ImM0NzFiZDZiLTMyYmUtNDk5Zi1iNjU5LTA1MTgwODk5OTZiMyJ9.,2023-08-12 09:29:47 UTC
-5,47,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE4MzI3NDQsImp0aSI6IjY2MTU1Njg2LWQyZWUtNGQ5MC1iNGZiLWE2ODA2M2UxN2UxMCJ9.,2023-08-12 09:33:20 UTC
100,96,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE4MzMwNzksImp0aSI6IjdhZWY0YmE3LTAzZTYtNDBlNC04ZjE2LTU2MjU2NmIyZDU4NyJ9.,2023-08-12 09:39:59 UTC
-5,71,PrimsAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE4MzMzMTYsImp0aSI6ImYxNzU2ZmU2LTIzYTYtNGQyOC04NWQ2LTdjMWQzZTA3MzQ4YiJ9.,2023-08-12 09:43:43 UTC
85,118,RecursiveDivision,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE4MzM0MjUsImp0aSI6IjZiODczNWEyLTljNGEtNDc2OS05Y2FmLWFiMWFmYjIwYjk0ZSJ9.,2023-08-12 09:45:55 UTC
-5,63,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE4MzM2OTksImp0aSI6ImE2NzcyMWZjLWZlYjYtNGUzOS1iNjdhLTNmNWFkZmQ3OTI1YyJ9.,2023-08-12 09:50:27 UTC
85,99,RecursiveBacktracker,,"",2023-08-12 11:46:16 UTC
40,175,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE4NDA4NzEsImp0aSI6IjYxZDdiOTFjLWMwNmMtNDNjOS04YzZjLTc5YmZmMWRlODc3YyJ9.,2023-08-12 11:53:46 UTC
40,110,RecursiveBacktracker,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE4NDIzMTgsImp0aSI6IjU3NTEyODM0LWU4ZGUtNGNjNi1iN2Q1LTI4NTQxY2RkMjkwZSJ9.,2023-08-12 12:24:44 UTC
100,117,RecursiveBacktracker,,"",2023-08-12 12:38:21 UTC
100,39,RecursiveBacktracker,,"",2023-08-12 13:22:46 UTC
55,57,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE4NTA2MjIsImp0aSI6IjM4NzQzZjMxLWZmNzYtNDJmNi05ZjM1LWJhZDgyY2EwNmI5ZSJ9.,2023-08-12 14:31:49 UTC
-5,104,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIwOTI4MjcsImp0aSI6ImE5NWNiNGEzLTI0NTYtNDQ3Zi1iZTZkLTI0Njg0MThjNTNkZCJ9.,2023-08-15 09:49:04 UTC
85,50,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIwOTI5NDUsImp0aSI6IjM4MmY4MDAwLTc1MmEtNDNmNS05MTNiLTMyZjdiYzc4NzM4NyJ9.,2023-08-15 09:50:36 UTC
-5,163,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIwOTQ1MzgsImp0aSI6IjMzOTJiN2MxLTA0MjItNGMwYi05ZWY3LTkyNDE3ZjYxNTAzZiJ9.,2023-08-15 10:18:32 UTC
100,145,GeneticAlgorithm,,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIwOTQ3MTQsImp0aSI6ImU5ZWEyOGVkLTgyNzAtNDM4Yy1iNDA2LTFiZGI4YzY5MTM0MSJ9.,2023-08-15 10:21:27 UTC
70,109,RecursiveBacktracker,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIwOTg4NzgsImp0aSI6ImY5Y2VkZjAzLWM1ZWMtNDg0NC1iZGJjLWNkOGU2MjY1ZGJhZCJ9.,2023-08-15 11:30:00 UTC
100,72,RecursiveBacktracker,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIwOTkxNTQsImp0aSI6ImU3NTU4ZDk0LTYzODItNDMzYy1iMzcxLTEwYTkwMjhhMThlOSJ9.,2023-08-15 11:34:52 UTC
-5,233,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxMDEyODIsImp0aSI6ImMwZTM3YmUyLWJmODYtNDJlNi1hMTAwLTIwZmZlMTBkMjA4YyJ9.,2023-08-15 12:12:36 UTC
85,101,RecursiveBacktracker,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxMDE1NTgsImp0aSI6IjE2NzhmZDNlLWNmZTgtNGY4OS1hZGUxLTg1N2I4ZDcxZjRlNiJ9.,2023-08-15 12:14:35 UTC
-5,178,RecursiveBacktracker,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxMTE0NjUsImp0aSI6ImRjZDk2M2NjLTU4YzEtNGQ4Yi1iNDJiLTJjMTY0ZGM5ZTlmZSJ9.,2023-08-15 15:02:02 UTC
-5,90,RecursiveBacktracker,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxMTE3MjMsImp0aSI6IjU2ODZlMDg2LWYyMDMtNDA2OC1iMjE0LTgzODhmNzBmYjkwNiJ9.,2023-08-15 15:03:40 UTC
-5,65,GeneticAlgorithm,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxMTE4MjEsImp0aSI6ImI3ZTVmMjAzLTI4ZTMtNDFjMy04YmQwLTgzOTk5YWY4MmQwNiJ9.,2023-08-15 15:04:56 UTC
40,122,RecursiveDivision,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxMTE4OTksImp0aSI6ImE2YzA3ZGY1LWYyZjctNGQxMi04MjY4LTBmYjAxMDQyMjcxZCJ9.,2023-08-15 15:07:29 UTC
-5,121,RecursiveBacktracker,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxMTIyNDYsImp0aSI6IjQ0MTY2NWU3LWNkMWQtNDQ1Mi1iMmQ4LTQ4YzFiYzU4ZGE1YSJ9.,2023-08-15 15:12:58 UTC
100,84,RecursiveBacktracker,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxMTIzODAsImp0aSI6ImJhYTI4NmRmLTU1YmItNGE3ZS05OTRhLTgwYmU5NzE2NDM2ZCJ9.,2023-08-15 15:14:50 UTC
55,329,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxODM3NzgsImp0aSI6ImJmZGFhYjg2LTFlYzctNGRiOC05MmMyLTg2YWFkZTU3MmJlYyJ9.,2023-08-16 11:10:49 UTC
55,101,RecursiveBacktracker,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxOTMwMjcsImp0aSI6ImUxNDdhOTllLWFlNzMtNDE0My1iZjQxLWMyODgwZjg2MDVmMyJ9.,2023-08-16 13:39:33 UTC
55,107,RecursiveDivision,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxOTMxNzYsImp0aSI6ImMzZjNjOGNhLTE1Y2YtNGFlNC05NWMzLWY5ZDQ0MDNmYTJlMyJ9.,2023-08-16 13:41:37 UTC
25,105,GeneticAlgorithm,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxOTMzNTMsImp0aSI6ImUxNzcxYTg4LTg2MDctNGFjZC1iNmQ4LTY0YjA2ZjdiODE2NSJ9.,2023-08-16 13:44:39 UTC
-5,216,RecursiveBacktracker,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxOTgzMjQsImp0aSI6ImI3YTJmZTAxLTBlNTgtNDhiNy05YjdlLTYzMTc2YmUyZGQ5MiJ9.,2023-08-16 15:09:25 UTC
85,97,RecursiveBacktracker,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxOTg1NjYsImp0aSI6Ijg0OGIyNWE5LTBiZTItNGRiYS1iN2ZkLTgyYTQxMjEzZGY4ZCJ9.,2023-08-16 15:11:38 UTC
85,73,RecursiveBacktracker,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxOTkwODYsImp0aSI6Ijg5NjJlZTI5LTdkZWUtNDhjMy04ZTFmLTQ0Y2YzOGU2YjE0NCJ9.,2023-08-16 15:23:33 UTC
85,47,RecursiveDivision,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxOTk1NzIsImp0aSI6IjEwOGM2MjIyLTkwODMtNDkwZC04YmQ5LTUyZDZmYTQyNDYxMiJ9.,2023-08-16 15:27:30 UTC
100,89,GeneticAlgorithm,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIxOTk5NTIsImp0aSI6ImM3NWQyZThiLWNjOGQtNDkzNC05Y2QwLTk2MDM2OTA2YmRlMCJ9.,2023-08-16 15:34:17 UTC
-5,219,RecursiveBacktracker,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyMDE3MzEsImp0aSI6IjA5OWU0YTAyLTE0ZDMtNDRhNS1hZGMzLTI2ZjRiMGM4MGJhYiJ9.,2023-08-16 16:06:35 UTC
85,57,PrimsAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyMDIwMDYsImp0aSI6IjNmM2M5ZDMxLTY2M2ItNGQzNi05ZGYzLTgwNjMxMWYzMjU4NyJ9.,2023-08-16 16:08:14 UTC
100,37,RecursiveDivision,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyMDIyNjksImp0aSI6IjljMjkwYjg3LWE3YjMtNDJhMS1iOGU5LTc2OWVhYzRlMmEzYiJ9.,2023-08-16 16:13:02 UTC
85,73,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyMDI0OTMsImp0aSI6IjVkYzZmMTFmLWNlMmEtNDk4My05M2Y1LTNmMzI2YmYyMzExMyJ9.,2023-08-16 16:16:32 UTC
85,134,RecursiveBacktracker,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyMDI5MzQsImp0aSI6ImVlYzIzZTJhLTY4MTEtNGI5ZS04ZmY2LWE1MzU0OTk1MGM2MSJ9.,2023-08-16 16:25:12 UTC
-5,110,PrimsAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyMDMyNzYsImp0aSI6IjQ2NTc3ZjFiLWE0ZTQtNDg3Mi1iYmY2LWQyMWRhZTlkNzBiNCJ9.,2023-08-16 16:30:03 UTC
70,117,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyMDM0MDMsImp0aSI6ImZhNDUyMGNjLTEyNjAtNDJiNS04Mzg2LWUyYjcyNTA2ODc4YyJ9.,2023-08-16 16:32:36 UTC
40,182,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyNjc3NTMsImp0aSI6ImU0ODY5ZjAzLTJkOGUtNGRiOS04MGQ4LTMwY2Y2OTNmMDYyNiJ9.,2023-08-17 10:25:55 UTC
-5,121,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyNjgxMDcsImp0aSI6ImY3YjBlNTgzLTQ4MzMtNGYyMC05ZDNmLTNjZjQ3Yjc0NTg0MiJ9.,2023-08-17 10:30:43 UTC
100,119,RecursiveBacktracker,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyNjgyNDQsImp0aSI6IjUzMWY2NzkxLThmODYtNGMxOS1iNWJlLWYwM2RmYjQ2OWE3YSJ9.,2023-08-17 10:33:06 UTC
10,148,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyNjg0NTEsImp0aSI6IjViZjdmMDVkLWRmNGItNDZkYy04ZDhjLTI1MGQ1NzVhNGQwOSJ9.,2023-08-17 10:37:26 UTC
-5,192,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyODEyMTcsImp0aSI6IjMxOTQ0NTVhLWRmNGQtNGE4OS05MWIzLTI0YTA0MDM5NzdiNyJ9.,2023-08-17 14:10:40 UTC
-5,93,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyODE0ODYsImp0aSI6ImEwYjk2OWRkLTg3YmYtNGIyMS1iNjcwLTdkMGYwYjI0MDI0NyJ9.,2023-08-17 14:13:18 UTC
85,50,GeneticAlgorithm,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyODE1OTksImp0aSI6ImM3MTk4NmU3LWMzOWUtNGI1MC1iM2I2LTA3MGY5YTMxMDU2NCJ9.,2023-08-17 14:14:43 UTC
100,149,RecursiveBacktracker,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyODM4OTEsImp0aSI6IjgzOTk1ZWRiLTg4NGYtNGNlZS05MGI3LTY5ZjVlZTI4ZTA3YiJ9.,2023-08-17 14:56:29 UTC
55,116,RecursiveBacktracker,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyODcwMTEsImp0aSI6Ijk0YTkyYzFmLWY3NGQtNGUwMC04MDdlLWY3NWNmYzJmMjk5NSJ9.,2023-08-17 15:46:18 UTC
85,63,RecursiveBacktracker,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyODcxNzksImp0aSI6IjMxZmE4NDRjLWRlYTItNDJlYy1hZTE5LTZiNmM2ZDBjODZmMyJ9.,2023-08-17 15:48:17 UTC
70,82,PrimsAlgorithm,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTIyODc1MTQsImp0aSI6IjIzNzkwZjE3LTM4NzYtNDViNy05MGEyLTBkNDE5NjRiZDI0OSJ9.,2023-08-17 15:53:28 UTC
